epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,138.058,0.92493,0.55761,0.92165,0.8598,0.84416,0.8726,0.613,1.0539,0.79913,1.05789,0.0008714,0.0008714,0.0008714
59,140.204,0.91236,0.56079,0.94234,0.8774,0.83646,0.88733,0.62473,1.07648,0.7985,1.08197,0.0008516,0.0008516,0.0008516
60,142.449,0.89507,0.54969,0.9375,0.86544,0.85281,0.87816,0.62704,1.07353,0.85639,1.08486,0.0008318,0.0008318,0.0008318
61,144.666,0.90058,0.55079,0.93816,0.88161,0.84416,0.86909,0.61292,1.07312,0.87492,1.09119,0.000812,0.000812,0.000812
62,146.855,0.91476,0.55323,0.94071,0.86755,0.85064,0.87657,0.63297,1.04607,0.80534,1.06947,0.0007922,0.0007922,0.0007922
63,149.097,0.909,0.54009,0.92413,0.86802,0.85415,0.87585,0.63322,1.04017,0.78648,1.06945,0.0007724,0.0007724,0.0007724
64,151.289,0.90974,0.55581,0.9356,0.88932,0.83482,0.87269,0.61961,1.06206,0.81601,1.06326,0.0007526,0.0007526,0.0007526
65,153.553,0.87202,0.53042,0.92349,0.89229,0.82684,0.87365,0.61637,1.07288,0.82971,1.06738,0.0007328,0.0007328,0.0007328
66,155.764,0.90506,0.54781,0.93105,0.88627,0.84337,0.86646,0.61907,1.06016,0.89454,1.0628,0.000713,0.000713,0.000713
67,157.923,0.87761,0.53046,0.92423,0.88182,0.85714,0.87137,0.62519,1.07207,0.84936,1.0688,0.0006932,0.0006932,0.0006932
68,160.137,0.8785,0.5261,0.92296,0.89013,0.84416,0.88118,0.6291,1.08256,0.78195,1.10689,0.0006734,0.0006734,0.0006734
69,162.358,0.90012,0.53508,0.92124,0.8783,0.83983,0.88465,0.63818,1.06703,0.79313,1.09837,0.0006536,0.0006536,0.0006536
